PassengerId,Survived,Ticket_class,Sex,Age,Siblings_Spouses,Parents_Children,Ticket,Fare,Embarked
1,No,3rd,Male,22.0,1,0,521171,7.25,Southampton
2,Yes,1st,Female,38.0,1,0,17599,71.2833,Cherbourg
3,Yes,3rd,Female,26.0,0,0,23101282,7.925,Southampton
4,Yes,1st,Female,35.0,1,0,113803,53.1,Southampton
5,No,3rd,Male,35.0,0,0,373450,8.05,Southampton
7,No,1st,Male,54.0,0,0,17463,51.8625,Southampton
8,No,3rd,Male,2.0,3,1,349909,21.075,Southampton
9,Yes,3rd,Female,27.0,0,2,347742,11.1333,Southampton
10,Yes,2nd,Female,14.0,1,0,237736,30.0708,Cherbourg
11,Yes,3rd,Female,4.0,1,1,9549,16.7,Southampton
12,Yes,1st,Female,58.0,0,0,113783,26.55,Southampton
13,No,3rd,Male,20.0,0,0,52151,8.05,Southampton
14,No,3rd,Male,39.0,1,5,347082,31.275,Southampton
15,No,3rd,Female,14.0,0,0,350406,7.8542,Southampton
16,Yes,2nd,Female,55.0,0,0,248706,16.0,Southampton
17,No,3rd,Male,2.0,4,1,382652,29.125,Queenstown
19,No,3rd,Female,31.0,1,0,345763,18.0,Southampton
21,No,2nd,Male,35.0,0,0,239865,26.0,Southampton
22,Yes,2nd,Male,34.0,0,0,248698,13.0,Southampton
23,Yes,3rd,Female,15.0,0,0,330923,8.0292,Queenstown
24,Yes,1st,Male,28.0,0,0,113788,35.5,Southampton
25,No,3rd,Female,8.0,3,1,349909,21.075,Southampton
26,Yes,3rd,Female,38.0,1,5,347077,31.3875,Southampton
28,No,1st,Male,19.0,3,2,19950,263.0,Southampton
31,No,1st,Male,40.0,0,0,17601,27.7208,Cherbourg
34,No,2nd,Male,66.0,0,0,24579,10.5,Southampton
35,No,1st,Male,28.0,1,0,17604,82.1708,Cherbourg
36,No,1st,Male,42.0,1,0,113789,52.0,Southampton
38,No,3rd,Male,21.0,0,0,52152,8.05,Southampton
39,No,3rd,Female,18.0,2,0,345764,18.0,Southampton
40,Yes,3rd,Female,14.0,1,0,2651,11.2417,Cherbourg
41,No,3rd,Female,40.0,1,0,7546,9.475,Southampton
42,No,2nd,Female,27.0,1,0,11668,21.0,Southampton
44,Yes,2nd,Female,3.0,1,2,2123,41.5792,Cherbourg
45,Yes,3rd,Female,19.0,0,0,330958,7.8792,Queenstown
50,No,3rd,Female,18.0,1,0,349237,17.8,Southampton
51,No,3rd,Male,7.0,4,1,3101295,39.6875,Southampton
52,No,3rd,Male,21.0,0,0,439886,7.8,Southampton
53,Yes,1st,Female,49.0,1,0,17572,76.7292,Cherbourg
54,Yes,2nd,Female,29.0,1,0,2926,26.0,Southampton
55,No,1st,Male,65.0,0,1,113509,61.9792,Cherbourg
57,Yes,2nd,Female,21.0,0,0,31026,10.5,Southampton
58,No,3rd,Male,28.5,0,0,2697,7.2292,Cherbourg
59,Yes,2nd,Female,5.0,1,2,34651,27.75,Southampton
60,No,3rd,Male,11.0,5,2,2144,46.9,Southampton
61,No,3rd,Male,22.0,0,0,2669,7.2292,Cherbourg
63,No,1st,Male,45.0,1,0,36973,83.475,Southampton
64,No,3rd,Male,4.0,3,2,347088,27.9,Southampton
67,Yes,2nd,Female,29.0,0,0,29395,10.5,Southampton
68,No,3rd,Male,19.0,0,0,3464,8.1583,Southampton
69,Yes,3rd,Female,17.0,4,2,3101281,7.925,Southampton
70,No,3rd,Male,26.0,2,0,315151,8.6625,Southampton
71,No,2nd,Male,32.0,0,0,33111,10.5,Southampton
72,No,3rd,Female,16.0,5,2,2144,46.9,Southampton
73,No,2nd,Male,21.0,0,0,14879,73.5,Southampton
74,No,3rd,Male,26.0,1,0,2680,14.4542,Cherbourg
75,Yes,3rd,Male,32.0,0,0,1601,56.4958,Southampton
76,No,3rd,Male,25.0,0,0,348123,7.65,Southampton
79,Yes,2nd,Male,0.83,0,2,248738,29.0,Southampton
80,Yes,3rd,Female,30.0,0,0,364516,12.475,Southampton
81,No,3rd,Male,22.0,0,0,345767,9.0,Southampton
82,Yes,3rd,Male,29.0,0,0,345779,9.5,Southampton
84,No,1st,Male,28.0,0,0,113059,47.1,Southampton
85,Yes,2nd,Female,17.0,0,0,14885,10.5,Southampton
86,Yes,3rd,Female,33.0,3,0,3101278,15.85,Southampton
87,No,3rd,Male,16.0,1,3,6608,34.375,Southampton
89,Yes,1st,Female,23.0,3,2,19950,263.0,Southampton
90,No,3rd,Male,24.0,0,0,343275,8.05,Southampton
91,No,3rd,Male,29.0,0,0,343276,8.05,Southampton
92,No,3rd,Male,20.0,0,0,347466,7.8542,Southampton
93,No,1st,Male,46.0,1,0,5734,61.175,Southampton
94,No,3rd,Male,26.0,1,2,2315,20.575,Southampton
95,No,3rd,Male,59.0,0,0,364500,7.25,Southampton
97,No,1st,Male,71.0,0,0,17754,34.6542,Cherbourg
98,Yes,1st,Male,23.0,0,1,17759,63.3583,Cherbourg
99,Yes,2nd,Female,34.0,0,1,231919,23.0,Southampton
100,No,2nd,Male,34.0,1,0,244367,26.0,Southampton
101,No,3rd,Female,28.0,0,0,349245,7.8958,Southampton
103,No,1st,Male,21.0,0,1,35281,77.2875,Southampton
104,No,3rd,Male,33.0,0,0,7540,8.6542,Southampton
105,No,3rd,Male,37.0,2,0,3101276,7.925,Southampton
106,No,3rd,Male,28.0,0,0,349207,7.8958,Southampton
107,Yes,3rd,Female,21.0,0,0,343120,7.65,Southampton
109,No,3rd,Male,38.0,0,0,349249,7.8958,Southampton
111,No,1st,Male,47.0,0,0,110465,52.0,Southampton
112,No,3rd,Female,14.5,1,0,2665,14.4542,Cherbourg
113,No,3rd,Male,22.0,0,0,324669,8.05,Southampton
114,No,3rd,Female,20.0,1,0,4136,9.825,Southampton
115,No,3rd,Female,17.0,0,0,2627,14.4583,Cherbourg
116,No,3rd,Male,21.0,0,0,23101294,7.925,Southampton
117,No,3rd,Male,70.5,0,0,370369,7.75,Queenstown
118,No,2nd,Male,29.0,1,0,11668,21.0,Southampton
119,No,1st,Male,24.0,0,1,17558,247.5208,Cherbourg
120,No,3rd,Female,2.0,4,2,347082,31.275,Southampton
121,No,2nd,Male,21.0,2,0,14879,73.5,Southampton
123,No,2nd,Male,32.5,1,0,237736,30.0708,Cherbourg
124,Yes,2nd,Female,32.5,0,0,27267,13.0,Southampton
125,No,1st,Male,54.0,0,1,35281,77.2875,Southampton
126,Yes,3rd,Male,12.0,1,0,2651,11.2417,Cherbourg
128,Yes,3rd,Male,24.0,0,0,17369,7.1417,Southampton
130,No,3rd,Male,45.0,0,0,347061,6.975,Southampton
131,No,3rd,Male,33.0,0,0,349241,7.8958,Cherbourg
132,No,3rd,Male,20.0,0,0,3101307,7.05,Southampton
133,No,3rd,Female,47.0,1,0,53337,14.5,Southampton
134,Yes,2nd,Female,29.0,1,0,228414,26.0,Southampton
135,No,2nd,Male,25.0,0,0,29178,13.0,Southampton
136,No,2nd,Male,23.0,0,0,2133,15.0458,Cherbourg
137,Yes,1st,Female,19.0,0,2,11752,26.2833,Southampton
138,No,1st,Male,37.0,1,0,113803,53.1,Southampton
139,No,3rd,Male,16.0,0,0,7534,9.2167,Southampton
140,No,1st,Male,24.0,0,0,17593,79.2,Cherbourg
142,Yes,3rd,Female,22.0,0,0,347081,7.75,Southampton
143,Yes,3rd,Female,24.0,1,0,23101279,15.85,Southampton
144,No,3rd,Male,19.0,0,0,365222,6.75,Queenstown
145,No,2nd,Male,18.0,0,0,231945,11.5,Southampton
146,No,2nd,Male,19.0,1,1,33112,36.75,Southampton
147,Yes,3rd,Male,27.0,0,0,350043,7.7958,Southampton
148,No,3rd,Female,9.0,2,2,6608,34.375,Southampton
149,No,2nd,Male,36.5,0,2,230080,26.0,Southampton
150,No,2nd,Male,42.0,0,0,244310,13.0,Southampton
151,No,2nd,Male,51.0,0,0,1166,12.525,Southampton
152,Yes,1st,Female,22.0,1,0,113776,66.6,Southampton
153,No,3rd,Male,55.5,0,0,511206,8.05,Southampton
154,No,3rd,Male,40.5,0,2,5851,14.5,Southampton
156,No,1st,Male,51.0,0,1,17597,61.3792,Cherbourg
157,Yes,3rd,Female,16.0,0,0,35851,7.7333,Queenstown
158,No,3rd,Male,30.0,0,0,392090,8.05,Southampton
161,No,3rd,Male,44.0,0,1,371362,16.1,Southampton
162,Yes,2nd,Female,40.0,0,0,33595,15.75,Southampton
163,No,3rd,Male,26.0,0,0,347068,7.775,Southampton
164,No,3rd,Male,17.0,0,0,315093,8.6625,Southampton
165,No,3rd,Male,1.0,4,1,3101295,39.6875,Southampton
166,Yes,3rd,Male,9.0,0,2,363291,20.525,Southampton
168,No,3rd,Female,45.0,1,4,347088,27.9,Southampton
170,No,3rd,Male,28.0,0,0,1601,56.4958,Southampton
171,No,1st,Male,61.0,0,0,111240,33.5,Southampton
172,No,3rd,Male,4.0,4,1,382652,29.125,Queenstown
173,Yes,3rd,Female,1.0,1,1,347742,11.1333,Southampton
174,No,3rd,Male,21.0,0,0,23101280,7.925,Southampton
175,No,1st,Male,56.0,0,0,17764,30.6958,Cherbourg
176,No,3rd,Male,18.0,1,1,350404,7.8542,Southampton
178,No,1st,Female,50.0,0,0,17595,28.7125,Cherbourg
179,No,2nd,Male,30.0,0,0,250653,13.0,Southampton
183,No,3rd,Male,9.0,4,2,347077,31.3875,Southampton
184,Yes,2nd,Male,1.0,2,1,230136,39.0,Southampton
185,Yes,3rd,Female,4.0,0,2,315153,22.025,Southampton
188,Yes,1st,Male,45.0,0,0,111428,26.55,Southampton
189,No,3rd,Male,40.0,1,1,364849,15.5,Queenstown
190,No,3rd,Male,36.0,0,0,349247,7.8958,Southampton
191,Yes,2nd,Female,32.0,0,0,234604,13.0,Southampton
192,No,2nd,Male,19.0,0,0,28424,13.0,Southampton
193,Yes,3rd,Female,19.0,1,0,350046,7.8542,Southampton
194,Yes,2nd,Male,3.0,1,1,230080,26.0,Southampton
195,Yes,1st,Female,44.0,0,0,17610,27.7208,Cherbourg
196,Yes,1st,Female,58.0,0,0,17569,146.5208,Cherbourg
198,No,3rd,Male,42.0,0,1,4579,8.4042,Southampton
200,No,2nd,Female,24.0,0,0,248747,13.0,Southampton
201,No,3rd,Male,28.0,0,0,345770,9.5,Southampton
203,No,3rd,Male,34.0,0,0,3101264,6.4958,Southampton
204,No,3rd,Male,45.5,0,0,2628,7.225,Cherbourg
205,Yes,3rd,Male,18.0,0,0,53540,8.05,Southampton
206,No,3rd,Female,2.0,0,1,347054,10.4625,Southampton
207,No,3rd,Male,32.0,1,0,3101278,15.85,Southampton
208,Yes,3rd,Male,26.0,0,0,2699,18.7875,Cherbourg
209,Yes,3rd,Female,16.0,0,0,367231,7.75,Queenstown
210,Yes,1st,Male,40.0,0,0,112277,31.0,Cherbourg
211,No,3rd,Male,24.0,0,0,3101311,7.05,Southampton
212,Yes,2nd,Female,35.0,0,0,13528,21.0,Southampton
213,No,3rd,Male,22.0,0,0,521174,7.25,Southampton
214,No,2nd,Male,30.0,0,0,250646,13.0,Southampton
216,Yes,1st,Female,31.0,1,0,35273,113.275,Cherbourg
217,Yes,3rd,Female,27.0,0,0,23101283,7.925,Southampton
218,No,2nd,Male,42.0,1,0,243847,27.0,Southampton
219,Yes,1st,Female,32.0,0,0,11813,76.2917,Cherbourg
220,No,2nd,Male,30.0,0,0,14208,10.5,Southampton
221,Yes,3rd,Male,16.0,0,0,392089,8.05,Southampton
222,No,2nd,Male,27.0,0,0,220367,13.0,Southampton
223,No,3rd,Male,51.0,0,0,21440,8.05,Southampton
225,Yes,1st,Male,38.0,1,0,19943,90.0,Southampton
226,No,3rd,Male,22.0,0,0,4348,9.35,Southampton
227,Yes,2nd,Male,19.0,0,0,751,10.5,Southampton
228,No,3rd,Male,20.5,0,0,521173,7.25,Southampton
229,No,2nd,Male,18.0,0,0,236171,13.0,Southampton
231,Yes,1st,Female,35.0,1,0,36973,83.475,Southampton
232,No,3rd,Male,29.0,0,0,347067,7.775,Southampton
233,No,2nd,Male,59.0,0,0,237442,13.5,Southampton
234,Yes,3rd,Female,5.0,4,2,347077,31.3875,Southampton
235,No,2nd,Male,24.0,0,0,29566,10.5,Southampton
237,No,2nd,Male,44.0,1,0,26707,26.0,Southampton
238,Yes,2nd,Female,8.0,0,2,31921,26.25,Southampton
239,No,2nd,Male,19.0,0,0,28665,10.5,Southampton
240,No,2nd,Male,33.0,0,0,1585,12.275,Southampton
243,No,2nd,Male,29.0,0,0,14263,10.5,Southampton
244,No,3rd,Male,22.0,0,0,23101275,7.125,Southampton
245,No,3rd,Male,30.0,0,0,2694,7.225,Cherbourg
246,No,1st,Male,44.0,2,0,19928,90.0,Queenstown
247,No,3rd,Female,25.0,0,0,347071,7.775,Southampton
248,Yes,2nd,Female,24.0,0,2,250649,14.5,Southampton
249,Yes,1st,Male,37.0,1,1,11751,52.5542,Southampton
250,No,2nd,Male,54.0,1,0,244252,26.0,Southampton
252,No,3rd,Female,29.0,1,1,347054,10.4625,Southampton
253,No,1st,Male,62.0,0,0,113514,26.55,Southampton
254,No,3rd,Male,30.0,1,0,53336,16.1,Southampton
255,No,3rd,Female,41.0,0,2,370129,20.2125,Southampton
256,Yes,3rd,Female,29.0,0,2,2650,15.2458,Cherbourg
258,Yes,1st,Female,30.0,0,0,110152,86.5,Southampton
259,Yes,1st,Female,35.0,0,0,17755,512.3292,Cherbourg
260,Yes,2nd,Female,50.0,0,1,230433,26.0,Southampton
262,Yes,3rd,Male,3.0,4,2,347077,31.3875,Southampton
263,No,1st,Male,52.0,1,1,110413,79.65,Southampton
264,No,1st,Male,40.0,0,0,112059,0.0,Southampton
266,No,2nd,Male,36.0,0,0,17248,10.5,Southampton
267,No,3rd,Male,16.0,4,1,3101295,39.6875,Southampton
268,Yes,3rd,Male,25.0,1,0,347083,7.775,Southampton
269,Yes,1st,Female,58.0,0,1,17582,153.4625,Southampton
270,Yes,1st,Female,35.0,0,0,17760,135.6333,Southampton
273,Yes,2nd,Female,41.0,0,1,250644,19.5,Southampton
274,No,1st,Male,37.0,0,1,17596,29.7,Cherbourg
276,Yes,1st,Female,63.0,1,0,13502,77.9583,Southampton
277,No,3rd,Female,45.0,0,0,347073,7.75,Southampton
279,No,3rd,Male,7.0,4,1,382652,29.125,Queenstown
280,Yes,3rd,Female,35.0,1,1,2673,20.25,Southampton
281,No,3rd,Male,65.0,0,0,336439,7.75,Queenstown
282,No,3rd,Male,28.0,0,0,347464,7.8542,Southampton
283,No,3rd,Male,16.0,0,0,345778,9.5,Southampton
284,Yes,3rd,Male,19.0,0,0,510482,8.05,Southampton
286,No,3rd,Male,33.0,0,0,349239,8.6625,Cherbourg
287,Yes,3rd,Male,30.0,0,0,345774,9.5,Southampton
288,No,3rd,Male,22.0,0,0,349206,7.8958,Southampton
289,Yes,2nd,Male,42.0,0,0,237798,13.0,Southampton
290,Yes,3rd,Female,22.0,0,0,370373,7.75,Queenstown
291,Yes,1st,Female,26.0,0,0,19877,78.85,Southampton
292,Yes,1st,Female,19.0,1,0,11967,91.0792,Cherbourg
293,No,2nd,Male,36.0,0,0,2163,12.875,Cherbourg
294,No,3rd,Female,24.0,0,0,349236,8.85,Southampton
295,No,3rd,Male,24.0,0,0,349233,7.8958,Southampton
297,No,3rd,Male,23.5,0,0,2693,7.2292,Cherbourg
298,No,1st,Female,2.0,1,2,113781,151.55,Southampton
300,Yes,1st,Female,50.0,0,1,17558,247.5208,Cherbourg
306,Yes,1st,Male,0.92,1,2,113781,151.55,Southampton
308,Yes,1st,Female,17.0,1,0,17758,108.9,Cherbourg
309,No,2nd,Male,30.0,1,0,3381,24.0,Cherbourg
310,Yes,1st,Female,30.0,0,0,17485,56.9292,Cherbourg
311,Yes,1st,Female,24.0,0,0,11767,83.1583,Cherbourg
312,Yes,1st,Female,18.0,2,2,17608,262.375,Cherbourg
313,No,2nd,Female,26.0,1,1,250651,26.0,Southampton
314,No,3rd,Male,28.0,0,0,349243,7.8958,Southampton
315,No,2nd,Male,43.0,1,1,13529,26.25,Southampton
316,Yes,3rd,Female,26.0,0,0,347470,7.8542,Southampton
317,Yes,2nd,Female,24.0,1,0,244367,26.0,Southampton
318,No,2nd,Male,54.0,0,0,29011,14.0,Southampton
319,Yes,1st,Female,31.0,0,2,36928,164.8667,Southampton
320,Yes,1st,Female,40.0,1,1,16966,134.5,Cherbourg
321,No,3rd,Male,22.0,0,0,521172,7.25,Southampton
322,No,3rd,Male,27.0,0,0,349219,7.8958,Southampton
323,Yes,2nd,Female,30.0,0,0,234818,12.35,Queenstown
324,Yes,2nd,Female,22.0,1,1,248738,29.0,Southampton
326,Yes,1st,Female,36.0,0,0,17760,135.6333,Cherbourg
327,No,3rd,Male,61.0,0,0,345364,6.2375,Southampton
328,Yes,2nd,Female,36.0,0,0,28551,13.0,Southampton
329,Yes,3rd,Female,31.0,1,1,363291,20.525,Southampton
330,Yes,1st,Female,16.0,0,1,111361,57.9792,Cherbourg
332,No,1st,Male,45.5,0,0,113043,28.5,Southampton
333,No,1st,Male,38.0,0,1,17582,153.4625,Southampton
334,No,3rd,Male,16.0,2,0,345764,18.0,Southampton
337,No,1st,Male,29.0,1,0,113776,66.6,Southampton
338,Yes,1st,Female,41.0,0,0,16966,134.5,Cherbourg
339,Yes,3rd,Male,45.0,0,0,7598,8.05,Southampton
340,No,1st,Male,45.0,0,0,113784,35.5,Southampton
341,Yes,2nd,Male,2.0,1,1,230080,26.0,Southampton
342,Yes,1st,Female,24.0,3,2,19950,263.0,Southampton
343,No,2nd,Male,28.0,0,0,248740,13.0,Southampton
344,No,2nd,Male,25.0,0,0,244361,13.0,Southampton
345,No,2nd,Male,36.0,0,0,229236,13.0,Southampton
346,Yes,2nd,Female,24.0,0,0,248733,13.0,Southampton
347,Yes,2nd,Female,40.0,0,0,31418,13.0,Southampton
349,Yes,3rd,Male,3.0,1,1,37671,15.9,Southampton
350,No,3rd,Male,42.0,0,0,315088,8.6625,Southampton
351,No,3rd,Male,23.0,0,0,7267,9.225,Southampton
353,No,3rd,Male,15.0,1,1,2695,7.2292,Cherbourg
354,No,3rd,Male,25.0,1,0,349237,17.8,Southampton
356,No,3rd,Male,28.0,0,0,345783,9.5,Southampton
357,Yes,1st,Female,22.0,0,1,113505,55.0,Southampton
358,No,2nd,Female,38.0,0,0,237671,13.0,Southampton
361,No,3rd,Male,40.0,1,4,347088,27.9,Southampton
362,No,2nd,Male,29.0,1,0,2167,27.7208,Cherbourg
363,No,3rd,Female,45.0,0,1,2691,14.4542,Cherbourg
364,No,3rd,Male,35.0,0,0,3101310,7.05,Southampton
366,No,3rd,Male,30.0,0,0,7076,7.25,Southampton
367,Yes,1st,Female,60.0,1,0,110813,75.25,Cherbourg
370,Yes,1st,Female,24.0,0,0,17477,69.3,Cherbourg
371,Yes,1st,Male,25.0,1,0,11765,55.4417,Cherbourg
372,No,3rd,Male,18.0,1,0,3101267,6.4958,Southampton
373,No,3rd,Male,19.0,0,0,323951,8.05,Southampton
374,No,1st,Male,22.0,0,0,17760,135.6333,Cherbourg
375,No,3rd,Female,3.0,3,1,349909,21.075,Southampton
377,Yes,3rd,Female,22.0,0,0,7077,7.25,Southampton
378,No,1st,Male,27.0,0,2,113503,211.5,Cherbourg
379,No,3rd,Male,20.0,0,0,2648,4.0125,Cherbourg
380,No,3rd,Male,19.0,0,0,347069,7.775,Southampton
381,Yes,1st,Female,42.0,0,0,17757,227.525,Cherbourg
382,Yes,3rd,Female,1.0,0,2,2653,15.7417,Cherbourg
383,No,3rd,Male,32.0,0,0,23101293,7.925,Southampton
384,Yes,1st,Female,35.0,1,0,113789,52.0,Southampton
386,No,2nd,Male,18.0,0,0,14879,73.5,Southampton
387,No,3rd,Male,1.0,5,2,2144,46.9,Southampton
388,Yes,2nd,Female,36.0,0,0,27849,13.0,Southampton
390,Yes,2nd,Female,17.0,0,0,1748,12.0,Cherbourg
391,Yes,1st,Male,36.0,1,2,113760,120.0,Southampton
392,Yes,3rd,Male,21.0,0,0,350034,7.7958,Southampton
393,No,3rd,Male,28.0,2,0,3101277,7.925,Southampton
394,Yes,1st,Female,23.0,1,0,35273,113.275,Cherbourg
395,Yes,3rd,Female,24.0,0,2,9549,16.7,Southampton
396,No,3rd,Male,22.0,0,0,350052,7.7958,Southampton
397,No,3rd,Female,31.0,0,0,350407,7.8542,Southampton
398,No,2nd,Male,46.0,0,0,28403,26.0,Southampton
399,No,2nd,Male,23.0,0,0,244278,10.5,Southampton
400,Yes,2nd,Female,28.0,0,0,240929,12.65,Southampton
401,Yes,3rd,Male,39.0,0,0,23101289,7.925,Southampton
402,No,3rd,Male,26.0,0,0,341826,8.05,Southampton
403,No,3rd,Female,21.0,1,0,4137,9.825,Southampton
404,No,3rd,Male,28.0,1,0,23101279,15.85,Southampton
405,No,3rd,Female,20.0,0,0,315096,8.6625,Southampton
406,No,2nd,Male,34.0,1,0,28664,21.0,Southampton
407,No,3rd,Male,51.0,0,0,347064,7.75,Southampton
408,Yes,2nd,Male,3.0,1,1,29106,18.75,Southampton
409,No,3rd,Male,21.0,0,0,312992,7.775,Southampton
413,Yes,1st,Female,33.0,1,0,19928,90.0,Queenstown
415,Yes,3rd,Male,44.0,0,0,23101269,7.925,Southampton
417,Yes,2nd,Female,34.0,1,1,28220,32.5,Southampton
418,Yes,2nd,Female,18.0,0,2,250652,13.0,Southampton
419,No,2nd,Male,30.0,0,0,28228,13.0,Southampton
420,No,3rd,Female,10.0,0,2,345773,24.15,Southampton
422,No,3rd,Male,21.0,0,0,513032,7.7333,Queenstown
423,No,3rd,Male,29.0,0,0,315082,7.875,Southampton
424,No,3rd,Female,28.0,1,1,347080,14.4,Southampton
425,No,3rd,Male,18.0,1,1,370129,20.2125,Southampton
427,Yes,2nd,Female,28.0,1,0,2003,26.0,Southampton
428,Yes,2nd,Female,19.0,0,0,250655,26.0,Southampton
430,Yes,3rd,Male,32.0,0,0,392078,8.05,Southampton
431,Yes,1st,Male,28.0,0,0,110564,26.55,Southampton
433,Yes,2nd,Female,42.0,1,0,3085,26.0,Southampton
434,No,3rd,Male,17.0,0,0,23101274,7.125,Southampton
435,No,1st,Male,50.0,1,0,13507,55.9,Southampton
436,Yes,1st,Female,14.0,1,2,113760,120.0,Southampton
437,No,3rd,Female,21.0,2,2,6608,34.375,Southampton
438,Yes,2nd,Female,24.0,2,3,29106,18.75,Southampton
439,No,1st,Male,64.0,1,4,19950,263.0,Southampton
440,No,2nd,Male,31.0,0,0,18723,10.5,Southampton
441,Yes,2nd,Female,45.0,1,1,13529,26.25,Southampton
442,No,3rd,Male,20.0,0,0,345769,9.5,Southampton
443,No,3rd,Male,25.0,1,0,347076,7.775,Southampton
444,Yes,2nd,Female,28.0,0,0,230434,13.0,Southampton
