PassengerId,Survived,Ticket_class,Sex,Age,Siblings_Spouses,Parents_Children,Fare,Embarked
446,Yes,1,Male,4,0,2,81.8583,Southampton
447,Yes,2,Female,13,0,1,19.5,Southampton
448,Yes,1,Male,34,0,0,26.55,Southampton
449,Yes,3,Female,5,2,1,19.2583,Cherbourg
450,Yes,1,Male,52,0,0,30.5,Southampton
451,No,2,Male,36,1,2,27.75,Southampton
453,No,1,Male,30,0,0,27.75,Cherbourg
454,Yes,1,Male,49,1,0,89.1042,Cherbourg
456,Yes,3,Male,29,0,0,7.8958,Cherbourg
457,No,1,Male,65,0,0,26.55,Southampton
459,Yes,2,Female,50,0,0,10.5,Southampton
461,Yes,1,Male,48,0,0,26.55,Southampton
462,No,3,Male,34,0,0,8.05,Southampton
463,No,1,Male,47,0,0,38.5,Southampton
464,No,2,Male,48,0,0,13.0,Southampton
466,No,3,Male,38,0,0,7.05,Southampton
468,No,1,Male,56,0,0,26.55,Southampton
470,Yes,3,Female,0,2,1,19.2583,Cherbourg
472,No,3,Male,38,0,0,8.6625,Southampton
473,Yes,2,Female,33,1,2,27.75,Southampton
474,Yes,2,Female,23,0,0,13.7917,Cherbourg
475,No,3,Female,22,0,0,9.8375,Southampton
477,No,2,Male,34,1,0,21.0,Southampton
478,No,3,Male,29,1,0,7.0458,Southampton
479,No,3,Male,22,0,0,7.5208,Southampton
480,Yes,3,Female,2,0,1,12.2875,Southampton
481,No,3,Male,9,5,2,46.9,Southampton
483,No,3,Male,50,0,0,8.05,Southampton
484,Yes,3,Female,63,0,0,9.5875,Southampton
485,Yes,1,Male,25,1,0,91.0792,Cherbourg
487,Yes,1,Female,35,1,0,90.0,Southampton
488,No,1,Male,58,0,0,29.7,Cherbourg
489,No,3,Male,30,0,0,8.05,Southampton
490,Yes,3,Male,9,1,1,15.9,Southampton
492,No,3,Male,21,0,0,7.25,Southampton
493,No,1,Male,55,0,0,30.5,Southampton
494,No,1,Male,71,0,0,49.5042,Cherbourg
495,No,3,Male,21,0,0,8.05,Southampton
497,Yes,1,Female,54,1,0,78.2667,Cherbourg
499,No,1,Female,25,1,2,151.55,Southampton
500,No,3,Male,24,0,0,7.7958,Southampton
501,No,3,Male,17,0,0,8.6625,Southampton
502,No,3,Female,21,0,0,7.75,Queenstown
504,No,3,Female,37,0,0,9.5875,Southampton
505,Yes,1,Female,16,0,0,86.5,Southampton
506,No,1,Male,18,1,0,108.9,Cherbourg
507,Yes,2,Female,33,0,2,26.0,Southampton
509,No,3,Male,28,0,0,22.525,Southampton
510,Yes,3,Male,26,0,0,56.4958,Southampton
511,Yes,3,Male,29,0,0,7.75,Queenstown
513,Yes,1,Male,36,0,0,26.2875,Southampton
514,Yes,1,Female,54,1,0,59.4,Cherbourg
515,No,3,Male,24,0,0,7.4958,Southampton
516,No,1,Male,47,0,0,34.0208,Southampton
517,Yes,2,Female,34,0,0,10.5,Southampton
519,Yes,2,Female,36,1,0,26.0,Southampton
520,No,3,Male,32,0,0,7.8958,Southampton
521,Yes,1,Female,30,0,0,93.5,Southampton
522,No,3,Male,22,0,0,7.8958,Southampton
524,Yes,1,Female,44,0,1,57.9792,Cherbourg
526,No,3,Male,40,0,0,7.75,Queenstown
527,Yes,2,Female,50,0,0,10.5,Southampton
529,No,3,Male,39,0,0,7.925,Southampton
530,No,2,Male,23,2,1,11.5,Southampton
531,Yes,2,Female,2,1,1,26.0,Southampton
533,No,3,Male,17,1,1,7.2292,Cherbourg
535,No,3,Female,30,0,0,8.6625,Southampton
536,Yes,2,Female,7,0,2,26.25,Southampton
537,No,1,Male,45,0,0,26.55,Southampton
538,Yes,1,Female,30,0,0,106.425,Cherbourg
540,Yes,1,Female,22,0,2,49.5,Cherbourg
541,Yes,1,Female,36,0,2,71.0,Southampton
542,No,3,Female,9,4,2,31.275,Southampton
543,No,3,Female,11,4,2,31.275,Southampton
544,Yes,2,Male,32,1,0,26.0,Southampton
545,No,1,Male,50,1,0,106.425,Cherbourg
546,No,1,Male,64,0,0,26.0,Southampton
547,Yes,2,Female,19,1,0,26.0,Southampton
549,No,3,Male,33,1,1,20.525,Southampton
550,Yes,2,Male,8,1,1,36.75,Southampton
551,Yes,1,Male,17,0,2,110.8833,Cherbourg
552,No,2,Male,27,0,0,26.0,Southampton
554,Yes,3,Male,22,0,0,7.225,Cherbourg
555,Yes,3,Female,22,0,0,7.775,Southampton
556,No,1,Male,62,0,0,26.55,Southampton
557,Yes,1,Female,48,1,0,39.6,Cherbourg
559,Yes,1,Female,39,1,1,79.65,Southampton
560,Yes,3,Female,36,1,0,17.4,Southampton
562,No,3,Male,40,0,0,7.8958,Southampton
563,No,2,Male,28,0,0,13.5,Southampton
566,No,3,Male,24,2,0,24.15,Southampton
567,No,3,Male,19,0,0,7.8958,Southampton
568,No,3,Female,29,0,4,21.075,Southampton
570,Yes,3,Male,32,0,0,7.8542,Southampton
571,Yes,2,Male,62,0,0,10.5,Southampton
572,Yes,1,Female,53,2,0,51.4792,Southampton
573,Yes,1,Male,36,0,0,26.3875,Southampton
575,No,3,Male,16,0,0,8.05,Southampton
576,No,3,Male,19,0,0,14.5,Southampton
577,Yes,2,Female,34,0,0,13.0,Southampton
578,Yes,1,Female,39,1,0,55.9,Southampton
580,Yes,3,Male,32,0,0,7.925,Southampton
581,Yes,2,Female,25,1,1,30.0,Southampton
582,Yes,1,Female,39,1,1,110.8833,Cherbourg
583,No,2,Male,54,0,0,26.0,Southampton
584,No,1,Male,36,0,0,40.125,Cherbourg
586,Yes,1,Female,18,0,2,79.65,Southampton
587,No,2,Male,47,0,0,15.0,Southampton
588,Yes,1,Male,60,1,1,79.2,Cherbourg
589,No,3,Male,22,0,0,8.05,Southampton
591,No,3,Male,35,0,0,7.125,Southampton
592,Yes,1,Female,52,1,0,78.2667,Cherbourg
593,No,3,Male,47,0,0,7.25,Southampton
595,No,2,Male,37,1,0,26.0,Southampton
596,No,3,Male,36,1,1,24.15,Southampton
600,Yes,1,Male,49,1,0,56.9292,Cherbourg
601,Yes,2,Female,24,2,1,27.0,Southampton
604,No,3,Male,44,0,0,8.05,Southampton
605,Yes,1,Male,35,0,0,26.55,Cherbourg
606,No,3,Male,36,1,0,15.55,Southampton
607,No,3,Male,30,0,0,7.8958,Southampton
608,Yes,1,Male,27,0,0,30.5,Southampton
609,Yes,2,Female,22,1,2,41.5792,Cherbourg
610,Yes,1,Female,40,0,0,153.4625,Southampton
611,No,3,Female,39,1,5,31.275,Southampton
615,No,3,Male,35,0,0,8.05,Southampton
616,Yes,2,Female,24,1,2,65.0,Southampton
617,No,3,Male,34,1,1,14.4,Southampton
618,No,3,Female,26,1,0,16.1,Southampton
619,Yes,2,Female,4,2,1,39.0,Southampton
620,No,2,Male,26,0,0,10.5,Southampton
621,No,3,Male,27,1,0,14.4542,Cherbourg
622,Yes,1,Male,42,1,0,52.5542,Southampton
623,Yes,3,Male,20,1,1,15.7417,Cherbourg
624,No,3,Male,21,0,0,7.8542,Southampton
625,No,3,Male,21,0,0,16.1,Southampton
626,No,1,Male,61,0,0,32.3208,Southampton
627,No,2,Male,57,0,0,12.35,Queenstown
628,Yes,1,Female,21,0,0,77.9583,Southampton
629,No,3,Male,26,0,0,7.8958,Southampton
631,Yes,1,Male,80,0,0,30.0,Southampton
632,No,3,Male,51,0,0,7.0542,Southampton
633,Yes,1,Male,32,0,0,30.5,Cherbourg
635,No,3,Female,9,3,2,27.9,Southampton
636,Yes,2,Female,28,0,0,13.0,Southampton
637,No,3,Male,32,0,0,7.925,Southampton
638,No,2,Male,31,1,1,26.25,Southampton
639,No,3,Female,41,0,5,39.6875,Southampton
641,No,3,Male,20,0,0,7.8542,Southampton
642,Yes,1,Female,24,0,0,69.3,Cherbourg
643,No,3,Female,2,3,2,27.9,Southampton
645,Yes,3,Female,0,2,1,19.2583,Cherbourg
646,Yes,1,Male,48,1,0,76.7292,Cherbourg
647,No,3,Male,19,0,0,7.8958,Southampton
648,Yes,1,Male,56,0,0,35.5,Cherbourg
650,Yes,3,Female,23,0,0,7.55,Southampton
652,Yes,2,Female,18,0,1,23.0,Southampton
653,No,3,Male,21,0,0,8.4333,Southampton
655,No,3,Female,18,0,0,6.75,Queenstown
656,No,2,Male,24,2,0,73.5,Southampton
658,No,3,Female,32,1,1,15.5,Queenstown
659,No,2,Male,23,0,0,13.0,Southampton
660,No,1,Male,58,0,2,113.275,Cherbourg
661,Yes,1,Male,50,2,0,133.65,Southampton
662,No,3,Male,40,0,0,7.225,Cherbourg
663,No,1,Male,47,0,0,25.5875,Southampton
664,No,3,Male,36,0,0,7.4958,Southampton
665,Yes,3,Male,20,1,0,7.925,Southampton
666,No,2,Male,32,2,0,73.5,Southampton
667,No,2,Male,25,0,0,13.0,Southampton
669,No,3,Male,43,0,0,8.05,Southampton
671,Yes,2,Female,40,1,1,39.0,Southampton
672,No,1,Male,31,1,0,52.0,Southampton
673,No,2,Male,70,0,0,10.5,Southampton
674,Yes,2,Male,31,0,0,13.0,Southampton
676,No,3,Male,18,0,0,7.775,Southampton
677,No,3,Male,24,0,0,8.05,Southampton
678,Yes,3,Female,18,0,0,9.8417,Southampton
679,No,3,Female,43,1,6,46.9,Southampton
682,Yes,1,Male,27,0,0,76.7292,Cherbourg
683,No,3,Male,20,0,0,9.225,Southampton
684,No,3,Male,14,5,2,46.9,Southampton
685,No,2,Male,60,1,1,39.0,Southampton
686,No,2,Male,25,1,2,41.5792,Cherbourg
687,No,3,Male,14,4,1,39.6875,Southampton
688,No,3,Male,19,0,0,10.1708,Southampton
689,No,3,Male,18,0,0,7.7958,Southampton
690,Yes,1,Female,15,0,1,211.3375,Southampton
691,Yes,1,Male,31,1,0,57.0,Southampton
692,Yes,3,Female,4,0,1,13.4167,Cherbourg
694,No,3,Male,25,0,0,7.225,Cherbourg
695,No,1,Male,60,0,0,26.55,Southampton
696,No,2,Male,52,0,0,13.5,Southampton
697,No,3,Male,44,0,0,8.05,Southampton
699,No,1,Male,49,1,1,110.8833,Cherbourg
700,No,3,Male,42,0,0,7.65,Southampton
701,Yes,1,Female,18,1,0,227.525,Cherbourg
702,Yes,1,Male,35,0,0,26.2875,Southampton
703,No,3,Female,18,0,1,14.4542,Cherbourg
704,No,3,Male,25,0,0,7.7417,Queenstown
705,No,3,Male,26,1,0,7.8542,Southampton
706,No,2,Male,39,0,0,26.0,Southampton
707,Yes,2,Female,45,0,0,13.5,Southampton
708,Yes,1,Male,42,0,0,26.2875,Southampton
709,Yes,1,Female,22,0,0,151.55,Southampton
711,Yes,1,Female,24,0,0,49.5042,Cherbourg
713,Yes,1,Male,48,1,0,52.0,Southampton
714,No,3,Male,29,0,0,9.4833,Southampton
715,No,2,Male,52,0,0,13.0,Southampton
716,No,3,Male,19,0,0,7.65,Southampton
717,Yes,1,Female,38,0,0,227.525,Cherbourg
718,Yes,2,Female,27,0,0,10.5,Southampton
720,No,3,Male,33,0,0,7.775,Southampton
721,Yes,2,Female,6,0,1,33.0,Southampton
722,No,3,Male,17,1,0,7.0542,Southampton
723,No,2,Male,34,0,0,13.0,Southampton
724,No,2,Male,50,0,0,13.0,Southampton
725,Yes,1,Male,27,1,0,53.1,Southampton
726,No,3,Male,20,0,0,8.6625,Southampton
727,Yes,2,Female,30,3,0,21.0,Southampton
729,No,2,Male,25,1,0,26.0,Southampton
730,No,3,Female,25,1,0,7.925,Southampton
731,Yes,1,Female,29,0,0,211.3375,Southampton
732,No,3,Male,11,0,0,18.7875,Cherbourg
734,No,2,Male,23,0,0,13.0,Southampton
735,No,2,Male,23,0,0,13.0,Southampton
736,No,3,Male,28,0,0,16.1,Southampton
737,No,3,Female,48,1,3,34.375,Southampton
742,No,1,Male,36,1,0,78.85,Southampton
743,Yes,1,Female,21,2,2,262.375,Cherbourg
744,No,3,Male,24,1,0,16.1,Southampton
745,Yes,3,Male,31,0,0,7.925,Southampton
746,No,1,Male,70,1,1,71.0,Southampton
747,No,3,Male,16,1,1,20.25,Southampton
748,Yes,2,Female,30,0,0,13.0,Southampton
749,No,1,Male,19,1,0,53.1,Southampton
750,No,3,Male,31,0,0,7.75,Queenstown
751,Yes,2,Female,4,1,1,23.0,Southampton
752,Yes,3,Male,6,0,1,12.475,Southampton
753,No,3,Male,33,0,0,9.5,Southampton
754,No,3,Male,23,0,0,7.8958,Southampton
755,Yes,2,Female,48,1,2,65.0,Southampton
756,Yes,2,Male,0,1,1,14.5,Southampton
757,No,3,Male,28,0,0,7.7958,Southampton
758,No,2,Male,18,0,0,11.5,Southampton
759,No,3,Male,34,0,0,8.05,Southampton
760,Yes,1,Female,33,0,0,86.5,Southampton
762,No,3,Male,41,0,0,7.125,Southampton
763,Yes,3,Male,20,0,0,7.2292,Cherbourg
764,Yes,1,Female,36,1,2,120.0,Southampton
765,No,3,Male,16,0,0,7.775,Southampton
766,Yes,1,Female,51,1,0,77.9583,Southampton
768,No,3,Female,30,0,0,7.75,Queenstown
770,No,3,Male,32,0,0,8.3625,Southampton
771,No,3,Male,24,0,0,9.5,Southampton
772,No,3,Male,48,0,0,7.8542,Southampton
773,No,2,Female,57,0,0,10.5,Southampton
775,Yes,2,Female,54,1,3,23.0,Southampton
776,No,3,Male,18,0,0,7.75,Southampton
778,Yes,3,Female,5,0,0,12.475,Southampton
780,Yes,1,Female,43,0,1,211.3375,Southampton
781,Yes,3,Female,13,0,0,7.2292,Cherbourg
782,Yes,1,Female,17,1,0,57.0,Southampton
783,No,1,Male,29,0,0,30.0,Southampton
785,No,3,Male,25,0,0,7.05,Southampton
786,No,3,Male,25,0,0,7.25,Southampton
787,Yes,3,Female,18,0,0,7.4958,Southampton
788,No,3,Male,8,4,1,29.125,Queenstown
789,Yes,3,Male,1,1,2,20.575,Southampton
790,No,1,Male,46,0,0,79.2,Cherbourg
792,No,2,Male,16,0,0,26.0,Southampton
795,No,3,Male,25,0,0,7.8958,Southampton
796,No,2,Male,39,0,0,13.0,Southampton
797,Yes,1,Female,49,0,0,25.9292,Southampton
798,Yes,3,Female,31,0,0,8.6833,Southampton
799,No,3,Male,30,0,0,7.2292,Cherbourg
800,No,3,Female,30,1,1,24.15,Southampton
801,No,2,Male,34,0,0,13.0,Southampton
802,Yes,2,Female,31,1,1,26.25,Southampton
803,Yes,1,Male,11,1,2,120.0,Southampton
804,Yes,3,Male,0,0,1,8.5167,Cherbourg
805,Yes,3,Male,27,0,0,6.975,Southampton
806,No,3,Male,31,0,0,7.775,Southampton
808,No,3,Female,18,0,0,7.775,Southampton
809,No,2,Male,39,0,0,13.0,Southampton
810,Yes,1,Female,33,1,0,53.1,Southampton
811,No,3,Male,26,0,0,7.8875,Southampton
812,No,3,Male,39,0,0,24.15,Southampton
813,No,2,Male,35,0,0,10.5,Southampton
814,No,3,Female,6,4,2,31.275,Southampton
815,No,3,Male,30,0,0,8.05,Southampton
817,No,3,Female,23,0,0,7.925,Southampton
818,No,2,Male,31,1,1,37.0042,Cherbourg
819,No,3,Male,43,0,0,6.45,Southampton
820,No,3,Male,10,3,2,27.9,Southampton
821,Yes,1,Female,52,1,1,93.5,Southampton
822,Yes,3,Male,27,0,0,8.6625,Southampton
824,Yes,3,Female,27,0,1,12.475,Southampton
825,No,3,Male,2,4,1,39.6875,Southampton
828,Yes,2,Male,1,0,2,37.0042,Cherbourg
831,Yes,3,Female,15,1,0,14.4542,Cherbourg
832,Yes,2,Male,0,1,1,18.75,Southampton
834,No,3,Male,23,0,0,7.8542,Southampton
835,No,3,Male,18,0,0,8.3,Southampton
836,Yes,1,Female,39,1,1,83.1583,Cherbourg
837,No,3,Male,21,0,0,8.6625,Southampton
839,Yes,3,Male,32,0,0,56.4958,Southampton
841,No,3,Male,20,0,0,7.925,Southampton
842,No,2,Male,16,0,0,10.5,Southampton
843,Yes,1,Female,30,0,0,31.0,Cherbourg
844,No,3,Male,34,0,0,6.4375,Cherbourg
845,No,3,Male,17,0,0,8.6625,Southampton
846,No,3,Male,42,0,0,7.55,Southampton
848,No,3,Male,35,0,0,7.8958,Cherbourg
849,No,2,Male,28,0,1,33.0,Southampton
851,No,3,Male,4,4,2,31.275,Southampton
852,No,3,Male,74,0,0,7.775,Southampton
853,No,3,Female,9,1,1,15.2458,Cherbourg
854,Yes,1,Female,16,0,1,39.4,Southampton
855,No,2,Female,44,1,0,26.0,Southampton
856,Yes,3,Female,18,0,1,9.35,Southampton
857,Yes,1,Female,45,1,1,164.8667,Southampton
858,Yes,1,Male,51,0,0,26.55,Southampton
859,Yes,3,Female,24,0,3,19.2583,Cherbourg
861,No,3,Male,41,2,0,14.1083,Southampton
862,No,2,Male,21,1,0,11.5,Southampton
863,Yes,1,Female,48,0,0,25.9292,Southampton
865,No,2,Male,24,0,0,13.0,Southampton
866,Yes,2,Female,42,0,0,13.0,Southampton
867,Yes,2,Female,27,1,0,13.8583,Cherbourg
868,No,1,Male,31,0,0,50.4958,Southampton
870,Yes,3,Male,4,1,1,11.1333,Southampton
871,No,3,Male,26,0,0,7.8958,Southampton
872,Yes,1,Female,47,1,1,52.5542,Southampton
873,No,1,Male,33,0,0,5.0,Southampton
874,No,3,Male,47,0,0,9.0,Southampton
875,Yes,2,Female,28,1,0,24.0,Cherbourg
876,Yes,3,Female,15,0,0,7.225,Cherbourg
877,No,3,Male,20,0,0,9.8458,Southampton
878,No,3,Male,19,0,0,7.8958,Southampton
880,Yes,1,Female,56,0,1,83.1583,Cherbourg
881,Yes,2,Female,25,0,1,26.0,Southampton
882,No,3,Male,33,0,0,7.8958,Southampton
883,No,3,Female,22,0,0,10.5167,Southampton
884,No,2,Male,28,0,0,10.5,Southampton
885,No,3,Male,25,0,0,7.05,Southampton
886,No,3,Female,39,0,5,29.125,Queenstown
887,No,2,Male,27,0,0,13.0,Southampton
888,Yes,1,Female,19,0,0,30.0,Southampton
890,Yes,1,Male,26,0,0,30.0,Cherbourg
891,No,3,Male,32,0,0,7.75,Queenstown
